permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,15,57,8.587691015547504,0.04657344420832479,7.670310837562976,Bootstrap02
response,15,57,8.719532304445996,0.04246909795545021,7.903261664717544,Bootstrap03
response,15,57,4.265704973466927,0.17036217545635307,3.611774083559693,Bootstrap04
response,15,57,7.749789390029356,0.018778460054737125,5.682784448009261,Bootstrap05
response,15,57,6.813605363798031,3.27019002232201e-5,5.83007452950902,Bootstrap06
response,15,57,6.645757571913242,0.0376633929071281,4.758618252727781,Bootstrap07
response,15,57,4.381498200825656,0.645972631475036,3.4740415967806353,Bootstrap08
response,15,57,7.980826252289638,0.1009299700776991,7.101289638861677,Bootstrap09
response,15,57,9.501201979247586,0.00463585092233534,8.279521016985662,Bootstrap10
response,16,58,12.703925476605146,0.43381453991063407,9.641652957937776,Bootstrap01
response,16,58,4.2307859495858935,7.698894817550662e-4,3.4752294243508,Bootstrap02
response,16,58,12.128502356009063,0.4751927193976469,10.63935442524655,Bootstrap03
response,16,58,9.905566846079163,0.14437560306122424,7.824809450945404,Bootstrap04
response,16,58,9.411700266278094,0.027528749265472156,8.162545662316537,Bootstrap05
response,16,58,7.438308918245071,0.0421117435817639,6.485611272902718,Bootstrap06
response,16,58,10.787785165132778,0.5537919649236951,8.54384779950698,Bootstrap07
response,16,58,3.1144366289434293,0.4585419947066264,2.6081544414935864,Bootstrap08
response,16,58,9.996678096119178,0.15610817622203096,7.819494269752312,Bootstrap09
response,16,58,5.613849175667057,0.13394459980840723,4.316216223038435,Bootstrap10
response,17,59,6.18398932089146,0.005622536503047049,4.678143429837881,Bootstrap01
response,17,59,12.264603153929995,0.4205499900781289,10.347940500830342,Bootstrap02
response,17,59,7.236689706250142,5.8677084468378365e-5,5.856061543535658,Bootstrap03
response,17,59,5.9846972954851,0.21267928556722362,4.9649209531544525,Bootstrap04
response,17,59,6.2760671480642145,0.01829537040199255,5.4994844795654085,Bootstrap05
response,17,59,7.944665560190686,0.1922502148411917,5.646995021187873,Bootstrap06
response,17,59,8.41030924029371,0.1552009220861485,6.773099923825915,Bootstrap07
response,17,59,9.794253238052002,0.13952910658153944,7.420498312782515,Bootstrap08
response,17,59,7.919845071433849,0.10070176682565832,7.253010589086671,Bootstrap09
response,17,59,6.924465449227686,0.006317152321224341,4.3573546964437355,Bootstrap10
response,18,60,8.230897088913736,0.08155912012812912,6.48370379443272,Bootstrap01
response,18,60,7.662420153567716,0.026439277254937898,5.720374558638816,Bootstrap02
response,18,60,5.7912661409875525,0.15407552152491336,4.171795155336731,Bootstrap03
response,18,60,5.809851035140099,0.024641220531079703,3.5797579794754926,Bootstrap04
response,18,60,9.993240308794098,0.04106394865155225,8.877261786983581,Bootstrap05
response,18,60,5.864010033263312,0.21928642816739694,4.515693538203403,Bootstrap06
response,18,60,3.9411093264256096,0.35579702661789975,2.7535566807731273,Bootstrap07
response,18,60,8.607621086007645,0.002091768376850934,7.084949647806281,Bootstrap08
response,18,60,7.804627694668112,0.14924495152789324,6.900977351495255,Bootstrap09
response,18,60,6.334569076248255,0.01927896000999482,4.833799746167813,Bootstrap10
response,19,61,9.627880267038009,0.19867932003883362,8.342192875171634,Bootstrap01
response,19,61,6.637272675790935,0.09330697055080982,5.253739539091831,Bootstrap02
response,19,61,9.607295959113793,0.2697199737144083,7.631479733127494,Bootstrap03
response,19,61,7.095876799154282,0.904701903252666,5.941745474598989,Bootstrap04
response,19,61,7.888424058385781,0.04542785570917536,6.66827041434738,Bootstrap05
response,19,61,7.626028418326661,0.0033238639821239232,6.883912687215327,Bootstrap06
response,19,61,9.426889167715943,0.09895712927789638,8.24163954646351,Bootstrap07
response,19,61,4.126781039122368,0.2840744470387074,3.4057272507974234,Bootstrap08
response,19,61,6.436056439187579,3.2416307215553646e-4,4.981789972488298,Bootstrap09
response,19,61,10.265376746635969,0.27007459119839766,8.781424681018366,Bootstrap10
response,20,62,7.593705618696179,0.011479570924507874,6.124386085831219,Bootstrap01
response,20,62,7.078144669587515,5.085352724217239e-4,5.687655319653845,Bootstrap02
response,20,62,8.23060438093492,0.0030777278781376847,6.488591857636765,Bootstrap03
response,20,62,6.671314012914222,0.027959262061648244,5.207325860666564,Bootstrap04
response,20,62,7.76714460992609,0.2700634538178575,4.626097197920103,Bootstrap05
response,20,62,3.5556947028363486,0.5686440236786289,2.441000915596275,Bootstrap06
response,20,62,7.921802970651517,0.010438269978054209,6.29424998268395,Bootstrap07
response,20,62,6.10639835630894,0.024755691903946074,4.226600082547815,Bootstrap08
response,20,62,9.550593279034144,0.1707020768834106,8.133102262953797,Bootstrap09
response,20,62,3.9256564508987393,0.08141137494610752,2.8697252714915176,Bootstrap10
