permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
none,4,46,0.9616782209830783,0.9654055151209465,0.738124948291329,Bootstrap01
none,4,46,2.8358210258097145,0.8625540563686658,1.9680461257531177,Bootstrap02
none,4,46,2.742688478910814,0.8555191846308159,2.064254659497658,Bootstrap03
none,4,46,2.536920675234578,0.7554623216360593,1.8797082776269767,Bootstrap04
none,4,46,2.34610403920482,0.8974485491962594,1.7044773366388593,Bootstrap05
none,4,46,2.942840561655123,0.9041497216239118,1.6766310998219938,Bootstrap06
none,4,46,3.515428211740457,0.7824769776164743,2.7900461674050114,Bootstrap07
none,4,46,2.6348906030663937,0.9393465340055981,1.9931883961211845,Bootstrap08
none,4,46,3.2933071372298737,0.8341828856091105,2.5555279048427084,Bootstrap09
none,4,46,1.814022614647129,0.9558448749172048,1.503104204065413,Bootstrap10
none,5,47,3.3457770222459855,0.7573745281426596,2.7389388628500884,Bootstrap01
none,5,47,2.5925340995154977,0.8401444680007712,1.919351013156817,Bootstrap02
none,5,47,2.884590846887487,0.8862122584749205,2.439932966466541,Bootstrap03
none,5,47,2.464648567835211,0.9061429195377512,1.6854823129734688,Bootstrap04
none,5,47,3.065700933013999,0.7156473251773299,2.6801392029946114,Bootstrap05
none,5,47,2.8654407199173897,0.8620027641010154,2.1870083969408887,Bootstrap06
none,5,47,3.44592414471073,0.9062000899636536,2.7104833254528566,Bootstrap07
none,5,47,3.1588447534755235,0.8556961180077168,2.2409523791052446,Bootstrap08
none,5,47,3.4958456169106404,0.8127709959234027,3.1371821991404065,Bootstrap09
none,5,47,3.239504766771259,0.8581726406618839,2.4361449819383987,Bootstrap10
none,6,48,3.264630561196569,0.888946691499626,2.6058176789381506,Bootstrap01
none,6,48,2.407098739428732,0.8112647602577092,2.203327695614753,Bootstrap02
none,6,48,3.542177159959644,0.7660659770809323,2.9720085578987545,Bootstrap03
none,6,48,2.4099214341588975,0.8391630143084141,1.6767222887135578,Bootstrap04
none,6,48,3.8275267699960995,0.9546511315362803,3.1574646845538745,Bootstrap05
none,6,48,3.628138678962519,0.9285497696179993,3.078127918309097,Bootstrap06
